2358258man,sit,table,['a man is sitting at a table']
2407317man,walk,grass,['a man is walking on grass.']
2374415man,sit,grass,['a man is sitting on grass.']
2393129man,sit,grass,['a man is sitting on grass.']
2398451man,sit,grass,['a man is sitting on grass.']
2410770man,layingin,grass,['a man is laying on grass.']
2383229woman,sit,grass,['a woman is sitting in grass.']
2416084woman,sit,grass,['a woman is sitting in grass.']
2362530woman,walk,grass,['a woman is walking in grass.']
1592658woman,walk,grass,['a woman is walking in grass.']
2324856cat,stand,grass,['a cat is standing on grass.']
2379026cat,layingin,grass,['a cat is laying in grass.']
2344463cat,drink,water,['a cat is drinks the water.']
2402707cat,drink,water,['a cat is drinking the water.']
2415551cat,drink,water,['a cat is drinking the water.']
2374475cat,drink,water,['a cat is drinking the water.']
2349994cat,drink,water,['a cat is drinking the water.']
2319593woman,drink,water,['a woman is drinking the water.']
2351851man,drink,water,['a man is drinking the water.']
2372988dog,drink,water,['a dog is drinking the water.']
2400930dog,drink,water,['a dog is drinking the water.']
2348412dog,drink,water,['a dog is drinking the water.']
2326326dog,stand,grass,['a dog is standing on grass.']
2397731dog,stand,grass,['a dog is standing on grass.']
2354435dog,layingin,grass,['a dog is laying on grass.']
2411072dog,layingin,grass,['a dog is laying on grass.']
2369441dog,layingin,grass,['a dog is laying on grass.']
2408498dog,layingin,grass,['a dog is laying in grass.']
2345041horse,eat,grass,['a horse is are eating grass.']
2386160horse,walk,grass,['a horse is walking on grass.']
2357994dog,sit,table,['a dog is sitting on a table.']
2400993dog,sit,table,['a dog is sitting on a table.']
2368732cat,sit,table,['a cat is sitting on a table.']
2416600cat,sit,table,['a cat is sitting on a table.']
2362132girl,sit,table,['a girl is sitting at a table.']
2401995man,play,soccer,['man are playing a soccer.']
2315452man,play,soccer,['a man is playing a soccer.']
2356058man,play,soccer,['a man is playing a soccer.']
2396796kid,play,soccer,['a kid is playing a soccer.']
2399915man,chase,frisbee,['a man is chasing a frisbee.']
2415899man,chase,frisbee,['a man is chasing a frisbee.']
2395862man,chase,frisbee,['a man is chasing a frisbee.']
2369092man,throw,frisbee,['a man is throwing a frisbee.']
2365287man,throw,frisbee,['a man is throwing a frisbee.']
2407317man,throw,frisbee,['a man is throwing a frisbee.']
2390835man,throw,frisbee,['a man is throwing a frisbee.']
2402088woman,throw,frisbee,['a woman is throwing a frisbee.']
2392212dog,chase,frisbee,['a dog is chases a frisbee.']
2350842man,kiss,bear,['a man is kissing a bear.']
2393277woman,kiss,bear,['a woman is kissing a bear.']
2396724woman,hold,phone,['a woman is holding a phone.']
2344466woman,hold,phone,['a woman is holding a phone.']
2351798woman,hold,phone,['a woman is holding a phone.']
2377845man,hold,phone,['a man is holding a phone.']
2411316man,hold,phone,['a man is holding a phone.']
2355352man,layingin,bench,['a man is laying a bench.']
2412700man,layingin,bench,['a man is laying down on a bench.']
2360541man,layingin,bench,['a man is laying down on a bench.']
2317122man,sit,bench,['a man is sits on a bench.']
2327047man,sit,bench,['a man is sits on a bench.']
285784man,sit,bench,['a man is sits on a bench.']
2363435woman,layingin,bench,['a woman is lying on a bench.']
2336574dog,layingin,bench,['a dog is laying on a bench.']
2379519dog,layingin,bench,['a dog is laying on a bench.']
2362606dog,layingin,bench,['a dog is laying on a bench.']
2360310man,carry,skateboard,['a man is carrying a skateboard.']
2406079man,carry,skateboard,['a man is carrying a skateboard.']
2333736man,carry,skateboard,['a man is carrying a skateboard.']
2409711woman,carry,skateboard,['a woman is carrying a skateboard.']
2379542woman,carry,skateboard,['a woman is carrying a skateboard.']
2358233woman,sit,bed,['a woman is sits on a bed.']
2374737woman,sit,bed,['a woman is sits on a bed.']
2394647woman,sit,bed,['a woman is sits on a bed.']
2395310woman,layingin,bed,['a woman is lying in a bed.']
2390362woman,layingin,bed,['a woman is lying in a bed.']
2353608man,layingin,bed,['a man is laying a bed.']
2319441man,layingin,bed,['a man is laying on a bed.']
2401977woman,ride,bike,['a woman is riding the sea.']
2380197woman,ride,bike,['a woman is riding the sea.']
2401442man,ride,bike,['a man is riding the sea.']
2395531man,ride,bike,['a man is riding the sea.']
2346914man,leaningagainst,wall,['a man is leaning against a wall.']
285721woman,leaningagainst,wall,['a woman is leaning against a wall.']
2319545woman,leaningagainst,wall,['a woman is leaning against a wall.']
2364449woman,leaningagainst,wall,['a woman is leaning against a wall.']
2406733man,hold,umbrella,['a man is holding an umbrella.']
2352912man,hold,umbrella,['a man is holding an umbrella.']
2371638man,hold,umbrella,['a man is holding an umbrella.']
2327749woman,hold,umbrella,['a woman is holding an umbrella.']
2369990woman,hold,umbrella,['a woman is holding an umbrella.']
2410428woman,hold,umbrella,['a woman is holding an umbrella.']
2354126man,skiing,snow,['a man is skiing the snow.']
2388084man,skiing,snow,['a man is skiing the snow.']
1159982man,skiing,snow,['a man is skiing the snow.']
2417058man,skiing,snow,['a man is skiing in the snow.']
2337714man,skiing,snow,['a man is skiing in the snow.']
2346971woman,skiing,snow,['a woman is skiing in the snow.']
2319091woman,skiing,snow,['a woman is skiing in the snow.']
2348732man,walk,beach,['a man is walks on the beach.']
2381449man,walk,beach,['a man is walking on the beach.']
2406055man,walk,beach,['a man is walking on the beach.']
2321616man,walk,beach,['a man is walking on the beach.']
2366370man,sit,beach,['a man is sitting on the beach.']
2322818man,sit,beach,['a man is sitting on the beach.']
2346094man,run,beach,['a man is running on the beach.']
2347874man,run,beach,['a man is running on the beach.']
2320727man,run,beach,['a man is running on the beach.']
2350014man,run,beach,['a man is running on the beach.']
2322422man,stand,beach,['a man is standing on the beach.']
2350400man,stand,beach,['a man is standing on the beach.']
2355534man,stand,beach,['a man is standing on the beach.']
2387956woman,walk,beach,['a woman is walks on the beach.']
2391606woman,sit,beach,['a woman is sitting on the beach.']
2384812boy,run,beach,['a boy is running on the beach.']
2382139boy,sit,bed,['a boy is sitting on the beach.']
